start,end,duration,round_epochs,loss,accuracy,precision,recall,f1,specificity,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,lr,lr,u1,u2,dropout,batch_size,epochs,optimizer,activation,dense_neurons,window
08/26/23-222951,08/26/23-223315,203.6947090625763,11,0.6917389035224915,0.5442379117012024,0.5814667344093323,0.7887429594993591,0.6360793113708496,0.21974822878837585,0.6938838958740234,0.529411792755127,0.4726639688014984,0.7122908234596252,0.5626547932624817,0.3729458749294281,0.001,0.01,128,128,0.3,32,100,Adam,elu,64,200
08/26/23-223318,08/26/23-223912,354.05199670791626,11,0.6969951391220093,0.5226765871047974,0.562795102596283,0.7228488326072693,0.6173014044761658,0.26563799381256104,0.6952928900718689,0.4491978585720062,0.4441964328289032,0.8227956891059875,0.5614615082740784,0.17142009735107422,0.001,0.0001,128,256,0.3,64,100,Adam,relu,32,200
08/26/23-223912,08/26/23-224308,236.1959090232849,29,0.6908831596374512,0.5458194017410278,0.5387824177742004,0.9307809472084045,0.6790705323219299,0.04599602147936821,0.6908920407295227,0.5281898975372314,0.5097514986991882,0.9727053046226501,0.664229691028595,0.02116212248802185,5.705106e-19,0.0001,128,256,0.3,64,100,Adam,relu,64,50
08/26/23-224309,08/26/23-224407,58.33685898780823,21,0.691279947757721,0.5249344110488892,0.544817328453064,0.5187986493110657,0.5045541524887085,0.4892411231994629,0.6902833580970764,0.5464481115341187,0.30000001192092896,0.2568493187427521,0.276752769947052,0.7727272510528564,1.8553914e-10,0.01,256,128,0.5,256,100,Adam,relu,64,21
08/26/23-224407,08/26/23-224626,139.0145800113678,29,0.6901342868804932,0.5492125749588013,0.5322257280349731,0.8061385750770569,0.6329393982887268,0.182717964053154,0.6903414726257324,0.5355191230773926,0.5091008543968201,0.8189223408699036,0.6227466464042664,0.15404517948627472,5.705106e-19,0.001,128,256,0.5,32,100,Adam,elu,64,21
08/26/23-224627,08/26/23-224749,82.51857399940491,20,0.6897177696228027,0.5360892415046692,0.5315682888031006,0.7301385998725891,0.5991703867912292,0.24249796569347382,0.689405620098114,0.5491803288459778,0.5277017951011658,0.6811923384666443,0.5597687363624573,0.31880342960357666,1.3709591e-09,0.001,256,128,0.3,64,100,Adam,elu,64,21
08/26/23-224749,08/26/23-224953,123.67933654785156,22,0.6914432644844055,0.5505016446113586,0.5514098405838013,0.9604469537734985,0.6966333389282227,0.034945111721754074,0.6910392045974731,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,2.2720463e-11,0.0001,128,128,0.5,32,100,Adam,relu,64,50
08/26/23-224953,08/26/23-225050,56.703264236450195,21,0.6891703605651855,0.5229659080505371,0.5273024439811707,0.5371955633163452,0.5101652145385742,0.4657171666622162,0.6883938312530518,0.562841534614563,0.30201342701911926,0.30821916460990906,0.3050847053527832,0.7318181991577148,1.8553914e-10,0.0001,256,128,0.3,256,100,Adam,elu,32,21
08/26/23-225050,08/26/23-225355,184.72508120536804,21,0.6905978918075562,0.5431438088417053,0.5475088357925415,0.8612680435180664,0.6613494157791138,0.12343696504831314,0.691250741481781,0.5370919704437256,0.5125373601913452,0.9504830837249756,0.6616955995559692,0.0538020096719265,1.8553914e-10,0.0001,256,128,0.3,64,100,Adam,relu,64,50
08/26/23-225355,08/26/23-230734,818.3657374382019,18,0.6890013217926025,0.5657992362976074,0.5839108824729919,0.8324041366577148,0.6779397130012512,0.20062756538391113,0.6976826190948486,0.49197861552238464,0.45693159103393555,0.7508995532989502,0.5661638379096985,0.2818238437175751,5.54516e-08,0.0001,256,128,0.5,32,100,Adam,elu,64,200
08/26/23-230734,08/26/23-230812,37.41184735298157,21,0.6868340373039246,0.5341207385063171,0.5546517968177795,0.5278425812721252,0.5120539665222168,0.49977192282676697,0.6873323321342468,0.5601093173027039,0.3006756901741028,0.3047945201396942,0.3027210533618927,0.7318181991577148,1.8553914e-10,0.01,128,128,0.3,256,100,Adam,relu,32,21
08/26/23-230812,08/26/23-233216,1444.1801578998566,16,0.6883264183998108,0.5598512887954712,0.5803702473640442,0.7757970094680786,0.655748724937439,0.24541914463043213,0.6956973671913147,0.5401069521903992,0.4864177405834198,0.6921694278717041,0.5678062438964844,0.41426241397857666,1.5034393e-06,0.0001,256,256,0.3,32,100,Adam,elu,64,200
08/26/23-233216,08/26/23-233410,113.18529772758484,21,0.688628613948822,0.5418060421943665,0.5626807808876038,0.5456958413124084,0.5358586311340332,0.4890251159667969,0.6878035068511963,0.5548961162567139,0.29591837525367737,0.3107142746448517,0.30313587188720703,0.7413793206214905,1.8553914e-10,0.01,128,128,0.3,256,100,Adam,elu,32,50
08/26/23-233410,08/26/23-234625,735.0164792537689,28,0.6900959014892578,0.5498327612876892,0.5461080074310303,0.8875697255134583,0.6710074543952942,0.09671059250831604,0.6904242038726807,0.5341246128082275,0.5130282640457153,0.869683027267456,0.6403905153274536,0.10857229679822922,9.3818445e-18,0.001,256,256,0.3,32,100,Adam,elu,64,50
08/26/23-234626,08/26/23-234912,166.83345746994019,17,0.6914852857589722,0.5524934530258179,0.5517407059669495,0.9976851940155029,0.7055138945579529,0.0,0.6920201182365417,0.5218579173088074,0.5174850821495056,1.0,0.6751575469970703,0.0,3.0353917e-07,0.01,256,128,0.3,32,100,Adam,relu,32,21
08/26/23-234913,08/26/23-235332,259.2214517593384,28,0.6913869976997375,0.5571906566619873,0.5534836649894714,0.9799095988273621,0.7034555673599243,0.024380197748541832,0.6916064620018005,0.5252225399017334,0.5203877091407776,1.0,0.6765315532684326,0.0,9.3818445e-18,0.01,128,128,0.3,32,100,Adam,relu,64,50
08/26/23-235333,08/26/23-235645,191.8774516582489,21,0.6878478527069092,0.5371237397193909,0.5166942477226257,0.5821621417999268,0.5286043286323547,0.4092816114425659,0.688228189945221,0.5697329640388489,0.458850622177124,0.5159518122673035,0.4642449617385864,0.4988735616207123,1.8553914e-10,0.001,128,128,0.5,64,100,Adam,elu,32,50
08/26/23-235645,08/27/23-001035,830.1959719657898,11,0.6908345818519592,0.5315985083580017,0.5750846266746521,0.6865980625152588,0.5839502215385437,0.3020869791507721,0.689395010471344,0.5721924901008606,0.5117363929748535,0.44388604164123535,0.4667820632457733,0.6771553158760071,0.001,0.0001,256,128,0.3,32,100,Adam,elu,64,200
08/27/23-001035,08/27/23-001209,93.52195382118225,21,0.6870211958885193,0.5377926230430603,0.551792562007904,0.5288044810295105,0.519954264163971,0.4989611804485321,0.6877628564834595,0.5697329640388489,0.30128204822540283,0.33571428060531616,0.31756752729415894,0.732758641242981,1.8553914e-10,0.01,128,128,0.3,256,100,Adam,relu,32,50
08/27/23-001209,08/27/23-001641,271.7332966327667,29,0.6907248497009277,0.5498327612876892,0.5499206185340881,0.9393069744110107,0.6888483762741089,0.051019322127103806,0.6906301975250244,0.5163204669952393,0.510084331035614,0.9447551965713501,0.6570723056793213,0.01783384196460247,5.705106e-19,0.0001,128,128,0.3,32,100,Adam,relu,64,50
08/27/23-001641,08/27/23-002445,483.81046509742737,28,0.6902199387550354,0.5565217137336731,0.5512729287147522,0.8973265290260315,0.6775796413421631,0.10147150605916977,0.6903054714202881,0.5252225399017334,0.5057610869407654,0.8792524337768555,0.6383423805236816,0.07592599093914032,9.3818445e-18,0.001,256,128,0.5,32,100,Adam,elu,64,50
08/27/23-002446,08/27/23-003602,676.3153846263885,25,0.6898635029792786,0.5424749255180359,0.5546813011169434,0.7754477858543396,0.6397493481636047,0.2187877744436264,0.6908872723579407,0.5489614009857178,0.5201112627983093,0.7199562788009644,0.5977644324302673,0.27539703249931335,2.2897347e-14,0.0001,256,256,0.5,32,100,Adam,relu,64,50
08/27/23-003602,08/27/23-011536,2373.51891040802,21,0.6910876631736755,0.5605947971343994,0.5698286294937134,0.9874094724655151,0.7163616418838501,0.018676478415727615,0.6986105442047119,0.4438502788543701,0.4448302686214447,1.0,0.6136299967765808,0.0,1.8553914e-10,0.01,256,256,0.5,32,100,Adam,relu,64,200
08/27/23-011536,08/27/23-012756,739.5762121677399,28,0.6904979348182678,0.5505016446113586,0.5481296181678772,0.9204370379447937,0.6820293068885803,0.06638728082180023,0.689990222454071,0.5281898975372314,0.5114607214927673,0.9286714196205139,0.6552112102508545,0.04393214359879494,9.3818445e-18,0.01,256,256,0.5,32,100,Adam,elu,64,50
08/27/23-012756,08/27/23-013011,135.51221632957458,21,0.6879275441169739,0.5458194017410278,0.5545305013656616,0.5378544926643372,0.5148029923439026,0.4987776279449463,0.6879374980926514,0.5548961162567139,0.29720279574394226,0.3035714328289032,0.3003533184528351,0.75,1.8553914e-10,0.0001,128,256,0.3,256,100,Adam,relu,32,50
08/27/23-013012,08/27/23-013135,83.46720051765442,21,0.6878145337104797,0.5341207385063171,0.5388931035995483,0.5362728238105774,0.509747326374054,0.4875403642654419,0.6885871887207031,0.5710382461547852,0.30519479513168335,0.3219178020954132,0.31333330273628235,0.7272727489471436,1.8553914e-10,0.0001,256,256,0.5,256,100,Adam,relu,64,21
08/27/23-013136,08/27/23-013412,156.49903178215027,23,0.6871662735939026,0.5518394708633423,0.5649858117103577,0.6119123101234436,0.5681901574134827,0.4298161268234253,0.6878369450569153,0.56083083152771,0.29289939999580383,0.35357141494750977,0.3203882873058319,0.6982758641242981,2.5174988e-12,0.0001,256,128,0.5,256,100,Adam,elu,64,50
08/27/23-013412,08/27/23-014512,659.9489030838013,23,0.6875401735305786,0.535315990447998,0.5566175580024719,0.4769268035888672,0.4809553921222687,0.5487694144248962,0.6890291571617126,0.5454545617103577,0.4444444477558136,0.09638553857803345,0.1584158092737198,0.9038461446762085,2.5174988e-12,0.01,128,256,0.5,256,100,Adam,relu,64,200
08/27/23-014513,08/27/23-014935,262.8357629776001,20,0.6880844831466675,0.5491638779640198,0.536788284778595,0.6112882494926453,0.5511370897293091,0.40332600474357605,0.6881136298179626,0.56083083152771,0.4488072395324707,0.5317451357841492,0.46768689155578613,0.46584153175354004,1.3709591e-09,0.0001,256,128,0.3,64,100,Adam,elu,32,50
08/27/23-014936,08/27/23-015115,99.10910558700562,16,0.6899726390838623,0.5524934530258179,0.5554271340370178,0.8409633040428162,0.6668009161949158,0.1663641482591629,0.691826343536377,0.5273224115371704,0.5021253228187561,0.7915306687355042,0.6125341653823853,0.17377622425556183,1.5034393e-06,0.001,256,128,0.3,64,100,Adam,relu,64,21
08/27/23-015115,08/27/23-020456,820.5470402240753,28,0.6906061172485352,0.5525083541870117,0.5495514273643494,0.9299396872520447,0.6863093376159668,0.06158197671175003,0.6906856298446655,0.5192878246307373,0.508077085018158,0.9286714196205139,0.6521138548851013,0.03088299185037613,9.3818445e-18,0.0001,256,256,0.3,32,100,Adam,elu,64,50
08/27/23-020456,08/27/23-021332,516.4024739265442,11,0.691990077495575,0.5308550000190735,0.5791602730751038,0.771977961063385,0.6508758664131165,0.23567542433738708,0.6996297836303711,0.5026738047599792,0.4586527347564697,0.5854878425598145,0.5096859931945801,0.446789026260376,0.001,0.01,128,128,0.5,64,100,Adam,relu,32,200
